"Number";"Country";"Variety";"Rainfall";"Temperature";"Soil_pH";"Fertilizer_type";"Yield";"GDP";"Herbicide";"Age";"Years_client";"Irrigation"
"201";"France";"V3";126;19.6;7;"F2";14.8;43061;0;70;11;0
"202";"Portugal";"V3";202;20;6.8;"F3";14.5;24530;0;53;19;0
"203";"Brazil";"V1";380;28.3;6.7;"F1";9.4;8918;0;45;18;0
"204";"Greece";"V1";68;25.5;6.7;"F1";13.8;21095;0;50;19;1
"205";"Greece";"V3";97;25.7;7.1;"F3";15.5;21095;0;52;10;1
"206";"Ireland";"V1";203;11.8;6;"F2";16.2;105362;0;62;10;0
"207";"France";"V3";185;20.7;5.9;"F2";15.8;43061;0;71;14;0
"208";"France";"V3";176;20.9;6.8;"F2";14;43061;0;51;3;0
"209";"France";"V4";180;15.7;6.4;"F2";14.9;43061;0;26;4;0
"210";"France";"V3";167;22.9;6.5;"F4";14.8;43061;1;41;13;0
"211";"Greece";"V3";103;26.6;6.9;"F3";13.8;21095;1;32;4;1
"212";"France";"V1";193;26.9;6.9;"F1";11.8;43061;0;61;26;0
"213";"France";"V4";204;20.5;6.4;"F4";15.7;43061;0;36;4;0
"214";"Brazil";"V3";349;28.1;6.3;"F1";9.9;8918;1;33;8;0
"215";"France";"V2";120;20.3;6.5;"F1";12.6;43061;0;40;10;0
"216";"Brazil";"V1";352;28.1;7;"F1";9.2;8918;1;54;5;0
"217";"France";"V3";169;14.5;6.7;"F3";16.3;43061;0;39;8;0
"218";"Greece";"V2";88;21.7;7.2;"F2";17.5;21095;0;42;22;1
"219";"Ireland";"V1";231;14.8;6.5;"F1";16.5;105362;1;65;22;0
"220";"Portugal";"V4";220;21.3;7.1;"F3";16.1;24530;0;26;3;0
"221";"France";"V3";155;20.2;6.9;"F4";15.9;43061;0;73;25;0
"222";"Portugal";"V3";194;16.7;6.8;"F3";14.5;24530;0;62;20;0
"223";"Brazil";"V3";370;25;6.7;"F4";13.4;8918;1;38;10;0
"224";"Brazil";"V1";322;25.8;6.4;"F2";14.1;8918;1;56;22;0
"225";"France";"V3";167;23;6.4;"F4";12.2;43061;0;67;18;0
"226";"France";"V2";NA;NA;6.6;"F2";16.7;43061;0;NA;11;0
"227";"Greece";"V4";73;23.4;6.5;"F3";16.5;21095;0;29;5;1
"228";"Greece";"V1";70;25.2;7;"F1";13.3;21095;1;53;17;1
"229";"Brazil";"V4";307;27.4;6.4;"F4";11.7;8918;0;32;9;0
"230";"Portugal";"V3";186;23.4;NA;"F4";12.7;24530;1;40;8;0
"231";"Brazil";"V4";369;32.6;6.3;"F4";5.7;8918;1;41;13;0
"232";"Greece";"V2";105;22.8;6.4;"F1";15.9;21095;1;38;10;1
"233";"Greece";"V3";79;24.4;6.5;"F2";13.8;21095;1;56;17;1
"234";"France";"V4";145;18.4;5.3;"F2";16.2;43061;0;29;8;0
"235";"France";"V1";144;24.5;5.8;"F1";11.3;43061;1;40;18;0
"236";"France";"V2";157;17.7;6.5;"F2";16.6;43061;0;72;23;0
"237";"France";"V3";160;19.8;6.4;"F4";14;43061;0;45;6;0
"238";"Ireland";"V4";230;16.6;5.9;"F2";18.2;105362;0;20;NA;0
"239";"France";"V3";159;16.8;5.5;"F3";17.6;43061;0;63;10;0
"240";"Ireland";"V1";178;18.3;6.3;"F1";17.3;105362;0;50;25;0
"241";"Greece";"V4";89;26.4;6.8;"F1";9.3;21095;0;20;NA;1
"242";"Brazil";"V1";409;25.9;7.4;"F3";16;8918;0;44;22;0
"243";"France";"V4";189;21.4;6.5;"F2";15.2;43061;0;40;13;0
"244";"Brazil";"V1";311;27.6;7.2;"F1";9.3;8918;1;42;18;0
"245";"France";"V2";134;20.9;6.5;"F2";16.3;43061;1;34;9;0
"246";"Brazil";"V4";473;27.8;6.6;"F4";12.7;8918;0;36;3;0
"247";"France";"V1";162;23.2;6.7;"F4";14.7;43061;1;53;9;0
"248";"Portugal";"V4";NA;NA;6.1;"F4";16.8;24530;0;27;4;0
"249";"Portugal";"V4";NA;NA;6.5;"F4";12.7;24530;0;27;4;0
"250";"Brazil";"V3";269;27.5;7;"F3";12.5;8918;0;69;25;0
"251";"France";"V3";150;17;6.1;"F3";16;43061;1;69;18;0
"252";"France";"V1";134;16.9;6.3;"F3";17.7;43061;0;41;2;0
"253";"Greece";"V2";80;25;NA;"F4";15;21095;1;56;2;1
"254";"France";"V4";167;19.6;6.7;"F2";15.3;43061;0;20;NA;0
"255";"Greece";"V3";70;19.9;6.7;"F2";14.8;21095;0;54;9;1
"256";"Brazil";"V2";379;30.1;6.8;"F2";10.2;8918;0;37;6;0
"257";"France";"V2";171;20.7;5.9;"F4";18.2;43061;0;63;23;0
"258";"Greece";"V3";76;29.8;6.6;"F3";11.3;21095;0;37;13;1
"259";"Greece";"V3";93;26.4;6;"F3";15.7;21095;0;40;14;1
"260";"Ireland";"V1";235;14.1;6.5;"F4";19.5;105362;0;58;12;0
"261";"Portugal";"V1";221;31.4;7.2;"F1";6.3;24530;0;49;7;0
"262";"Ireland";"V4";216;20.7;6.2;"F4";19.1;105362;0;27;3;0
"263";"Brazil";"V2";345;25.6;6.9;"F1";13;8918;1;68;20;0
"264";"Portugal";"V1";198;24.4;6.1;"F1";11.3;24530;1;62;9;0
"265";"Greese";"V2";112;24.6;6.3;"F1";13.6;21095;1;63;8;1
"266";"Greece";"V2";107;25.4;6.7;"F2";14.4;21095;1;57;17;1
"267";"France";"V3";182;20.7;6.2;"F3";15.8;43061;0;36;4;0
"268";"France";"V4";159;16.2;5.6;"F4";16.7;43061;1;39;3;0
"269";"France";"V3";172;20.9;7.1;"F2";16.2;43061;0;62;2;0
"270";"Greece";"V4";96;28.5;6.7;"F3";13.1;21095;1;41;17;1
"271";"Ireland";"V2";199;14.7;6.2;"F2";17.8;105362;0;30;8;0
"272";"France";"V4";130;19.5;5.5;"F4";18.2;43061;0;39;2;0
"273";"France";"V2";178;24.2;7.5;"F1";13.4;43061;1;43;15;0
"274";"France";"V3";134;22.7;8.2;"F2";15.8;43061;1;46;9;0
"275";"Brazil";"V4";350;24.7;6.6;"F1";11.9;8918;0;41;14;0
"276";"Brazil";"V2";363;28.5;6.9;"F1";9.6;8918;0;40;6;0
"277";"Portugal";"V3";211;28;7.1;"F3";11.5;24530;1;32;11;0
"278";"Greece";"V1";93;27.8;6.1;"F1";12.9;21095;0;61;5;1
"279";"France";"V2";150;21.3;6.3;"F3";15.9;43061;0;34;3;0
"280";"Brazil";"V3";399;29.4;5.6;"F4";11.2;8918;1;66;6;0
"281";"Brazil";"V4";437;25.6;6.1;"F4";12.2;8918;0;41;8;0
"282";"France";"V4";183;20.9;6.8;"F1";12.7;43061;0;20;NA;0
"283";"France";"V4";126;17.1;6.4;"F2";14.1;43061;0;22;2;0
"284";"France";"V3";193;18.6;6.4;"F3";17.4;43061;0;65;17;0
"285";"France";"V4";164;22.8;6.4;"F2";15.1;43061;1;41;6;0
"286";"France";"V1";175;16.6;5.6;"F2";16.7;43061;0;42;11;0
"287";"France";"V1";177;20.8;6.9;"F1";15.6;43061;0;50;13;0
"288";"France";"V2";163;21.3;NA;"F2";17.6;43061;1;48;12;0
"289";"France";"V4";163;20.2;6.4;"F4";14.3;43061;0;34;14;0
"290";"Brazil";"V2";401;31.6;6.3;"F2";9.5;8918;1;45;2;0
"291";"France";"V3";179;16.9;6.4;"F2";14.4;43061;0;NA;24;0
"292";"France";"V1";185;21.8;7.2;"F3";16.5;43061;1;46;4;0
"293";"France";"V4";213;19.7;6.2;"F2";18;43061;0;NA;2;0
"294";"Ireland";"V1";233;14.5;6.1;"F1";18.1;105362;0;27;4;0
"295";"Brazil";"V1";360;28.9;5.7;"F4";12.7;8918;1;48;20;0
"296";"Ireland";"V4";176;13;6.1;"F2";16.8;105362;0;29;3;0
"297";"Portugal";"V3";254;19.1;5.9;"F3";14.1;24530;0;46;5;0
"298";"France";"V3";155;18.5;6.7;"F3";15.1;43061;1;39;6;0
"299";"France";"V4";212;25.3;6.1;"F4";14.9;43061;1;44;6;0
"300";"Brazil";"V1";369;28.1;6.7;"F3";13.2;8918;1;43;20;0
